epoch,train_loss
1,6.4905430688543975
2,5.838654171891798
3,5.584905209099382
4,5.322389753585773
5,5.074674036093213
6,4.827537765978144
7,4.599467368307146
8,4.376736699754484
9,4.160518607436542
10,3.9637578669369335
11,3.766907971694166
12,3.5785120494143348
13,3.3993449583894564
14,3.2244816401183685
15,3.0766627903772243
16,2.912601574666704
17,2.770213488428587
18,2.6360512181847517
19,2.511747016826436
20,2.3794245509665704
21,2.274941565125684
22,2.166811050803021
23,2.074865433823121
24,1.9866283759298577
25,1.8965468962125571
26,1.8236297798016483
27,1.7519217272366927
28,1.6843357692781538
29,1.6196115526596673
30,1.5672859782420183
31,1.509807711915647
32,1.4520474932750511
33,1.3914806253667096
34,1.3557373057449076
35,1.3082564640391676
36,1.2594895904895667
37,1.2229392532384054
38,1.1817820968082864
39,1.1462178495050033
40,1.1153189850909548
41,1.0925184557048622
42,1.0508805762539617
43,1.0295428533552426
44,1.0023073215812979
45,0.9781224019552599
46,0.9456615810218557
47,0.915425287098667
48,0.8953304406550043
49,0.8722572416381664
50,0.8516282262813949
51,0.8287300579453967
52,0.8070285882468015
53,0.7884164029417913
54,0.7779909053560538
55,0.7530085451016205
56,0.7375037938234364
57,0.7192638493084744
58,0.7075641134067269
59,0.6943080308555739
60,0.6621901446563355
