epoch,train_loss,train_accuracy,test_accuracy
1,3.6920800473954944,0.025,0.025
2,3.6877777576446533,0.03333333333333333,0.05
3,3.677781094445123,0.03333333333333333,0.05
4,3.616807810465495,0.05,0.125
5,3.4044131490919325,0.08055555555555556,0.2
6,3.02755192650689,0.16111111111111112,0.2
7,2.7000561396280927,0.21666666666666667,0.275
8,2.385306713316176,0.2722222222222222,0.375
9,2.0725772539774576,0.3611111111111111,0.5
10,1.902416714032491,0.40555555555555556,0.625
11,1.703264300028483,0.4777777777777778,0.625
12,1.4454051971435546,0.5055555555555555,0.7
13,1.3033308532502916,0.5666666666666667,0.7
14,1.2430688222249349,0.5611111111111111,0.725
15,1.155556681421068,0.6138888888888889,0.65
16,1.0009928835762871,0.6888888888888889,0.925
17,0.8929136090808445,0.7222222222222222,0.95
18,0.8271673321723938,0.7305555555555555,0.8
19,0.797514890299903,0.7305555555555555,0.85
20,0.684306710296207,0.7444444444444445,0.9
21,0.6576674428251055,0.7666666666666667,0.875
22,0.5467383517159357,0.8305555555555556,0.9
23,0.509713022576438,0.8194444444444444,0.875
24,0.5382467879189385,0.8222222222222222,0.825
25,0.47589358621173433,0.8416666666666667,0.875
26,0.48641786177953084,0.8333333333333334,0.925
27,0.3717027995321486,0.8777777777777778,0.9
28,0.3563340968555874,0.8638888888888889,0.9
29,0.3917176518175337,0.8444444444444444,0.9
30,0.3023397743701935,0.9,0.9
31,0.3371505465772417,0.8833333333333333,0.925
32,0.30023172828886246,0.9027777777777778,0.925
33,0.27970257997512815,0.8944444444444445,0.95
34,0.2338711705472734,0.9277777777777778,0.95
35,0.19158433808220757,0.9416666666666667,0.975
