epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.6075622461032868,0.65184,0.5399604470157623,0.7554
2,0.4572856782722473,0.78916,0.5171821229362488,0.7734
3,0.3740932870388031,0.83732,0.5099034602928162,0.8296
4,0.33692178254127503,0.85656,0.44411289472579957,0.82568
5,0.28139811892032623,0.88332,0.5171340453529358,0.82688
6,0.26858734152793884,0.8878,0.4667479850101471,0.83796
7,0.22962270800113677,0.90772,0.640056659412384,0.84732
8,0.19261195568084716,0.9228,0.6255561703968048,0.82444
