epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.6218473972892761,0.64084,0.48310825011253355,0.77056
2,0.45321843044281007,0.78948,0.40600397314071657,0.8172
3,0.3743135657596588,0.83628,0.4407431496047974,0.8334
4,0.31516965618133547,0.86604,0.4048601877689362,0.85424
5,0.2721004771900177,0.88724,0.4338928729343414,0.84896
6,0.2406799416732788,0.90132,0.3789800825405121,0.86152
7,0.2121445665407181,0.91456,0.41449795555114743,0.86036
8,0.1872945484638214,0.927,0.45121304155349734,0.8566
